Input,Meta,Output
What is the capital?,USA,Washington D.C.
What is the capital?,France,Paris
What is the capital?,India,New Delhi
What is the capital?,Germany,Berlin
What is the capital?,Canada,Ottawa
What is the capital?,Australia,Canberra
What is the capital?,Japan,Tokyo
What is the capital?,Brazil,Brasília
What is the capital?,Italy,Rome
What is the capital?,United Kingdom,London
What is the capital?,China,Beijing
What is the capital?,Russia,Moscow
What is the capital?,South Korea,Seoul
What is the capital?,Mexico,Mexico City
What is the capital?,Argentina,Buenos Aires
What is the capital?,Spain,Madrid
What is the capital?,South Africa,Pretoria
What is the capital?,Egypt,Cairo
What is the capital?,Turkey,Ankara
What is the capital?,Saudi Arabia,Riyadh
